health_region_code,year,measure_type,live_births,neonatal_deaths,infant_deaths,under5_deaths,maternal_deaths,neonatal_per_1000,infant_per_1000,under5_per_1000,maternal_per_100000
15010,2010,occurrence,3670,56,81,102,0,15.2588555858311,22.0708446866485,27.7929155313352,0
15010,2010,residence,3648,61,92,116,0,16.7214912280702,25.219298245614,31.7982456140351,0
15010,2015,occurrence,3910,37,44,57,2,9.46291560102302,11.2531969309463,14.5780051150895,51.150895140665
15010,2015,residence,3974,45,52,66,3,11.3236034222446,13.0850528434826,16.6079516859587,75.4906894816306
15011,2000,occurrence,9633,92,146,187,3,9.55050347762898,15.1562337797156,19.412436416485,31.1429461227032
15011,2000,residence,9993,123,194,246,4,12.3086160312219,19.4135895126589,24.6172320624437,40.0280196137296
15011,2005,occurrence,11428,70,106,148,3,6.12530626531327,9.27546377318866,12.9506475323766,26.2513125656283
15011,2005,residence,12034,131,211,283,6,10.8858235000831,17.533654645172,23.516702675752,49.8587335881669
15011,2010,occurrence,11250,123,145,180,2,10.9333333333333,12.8888888888889,16,17.7777777777778
15011,2010,residence,12210,176,241,298,10,14.4144144144144,19.7379197379197,24.4062244062244,81.9000819000819
15011,2015,occurrence,9807,73,97,118,3,7.44366268991537,9.89089425920261,12.0322218823289,30.5903946160906
15011,2015,residence,11799,139,195,229,9,11.7806593779134,16.5268243071447,19.4084244427494,76.27765064836
15012,2000,occurrence,5253,109,163,203,2,20.7500475918523,31.0298876832286,38.6445840472111,38.0734818199124
15012,2000,residence,5311,115,173,214,4,21.6531726605159,32.5739032197326,40.2937299943514,75.3153831670119
15012,2005,occurrence,5860,101,149,178,3,17.2354948805461,25.4266211604096,30.3754266211604,51.1945392491468
15012,2005,residence,5971,114,170,205,5,19.0922793501926,28.4709428906381,34.3326076034165,83.7380673254061
15012,2010,occurrence,5638,73,115,148,6,12.9478538488826,20.3973040085137,26.2504434196524,106.420716566158
15012,2010,residence,5830,82,138,178,6,14.065180102916,23.6706689536878,30.5317324185249,102.915951972556
15012,2015,occurrence,6778,60,89,108,7,8.85216878135143,13.1307170256713,15.9339038064326,103.2753024491
15012,2015,residence,7152,65,100,124,7,9.08836689038031,13.9821029082774,17.337807606264,97.8747203579418
15013,2000,occurrence,1841,22,40,50,1,11.9500271591526,21.7273221075502,27.1591526344378,54.3183052688756
